,GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT
0,League Averages,Above the Break 3,Back Court(BC),Back Court Shot,35,4,0.114
1,League Averages,Above the Break 3,Center(C),24+ ft.,16368,5613,0.343
2,League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,24924,8511,0.341
3,League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,23120,8171,0.353
4,League Averages,Backcourt,Back Court(BC),Back Court Shot,440,11,0.025
5,League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,11777,5228,0.444
6,League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,23351,9813,0.42
7,League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,2197,949,0.432
8,League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,2343,1000,0.427
9,League Averages,Left Corner 3,Left Side(L),24+ ft.,11377,4371,0.384
10,League Averages,Mid-Range,Center(C),16-24 ft.,4165,1743,0.418
11,League Averages,Mid-Range,Center(C),8-16 ft.,2088,921,0.441
12,League Averages,Mid-Range,Left Side Center(LC),16-24 ft.,3972,1632,0.411
13,League Averages,Mid-Range,Left Side(L),16-24 ft.,1680,613,0.365
14,League Averages,Mid-Range,Left Side(L),8-16 ft.,5014,2023,0.403
15,League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,4043,1575,0.39
16,League Averages,Mid-Range,Right Side(R),16-24 ft.,1609,614,0.382
17,League Averages,Mid-Range,Right Side(R),8-16 ft.,5141,2143,0.417
18,League Averages,Restricted Area,Center(C),Less Than 8 ft.,62987,41140,0.653
19,League Averages,Right Corner 3,Right Side(R),24+ ft.,10091,3855,0.382
